#,Age,City,College,Conference,Division,Exp.,Ht.,Name,Pos.,Team,Team Logo,Team Roster,Wt.
24,25,"San Francisco, CA",Pittsburgh,NFC,NFC-West,3,5-9,"Williams, K'Waun",CB,49ers,https://cpt.azureedge.net/NFLTeamImages/49ers.png,http://www.49ers.com/team/roster.html,183
25,25,"Cincinnati, OH",North Carolina,AFC,AFC-North,5,5-9,"Bernard, Giovani",HB,Bengals,https://cpt.azureedge.net/NFLTeamImages/bengals.png,http://www.bengals.com/team/roster.html,205
25,25,"Kansas City, MO",Wyoming,AFC,AFC-West,4,5-11,"Huff, Marqueston",DB,Chiefs,https://cpt.azureedge.net/NFLTeamImages/chiefs.png,http://www.chiefs.com/team/roster.html,196
25,25,"San Francisco, CA",Northern Illinois,NFC,NFC-West,4,5-11,"Ward, Jimmie",DB,49ers,https://cpt.azureedge.net/NFLTeamImages/49ers.png,http://www.49ers.com/team/roster.html,193
25,25,"Tampa, FL",Alabama,NFC,NFC-South,1,5-11,"Sims, Blake",RB,Buccaneers,https://cpt.azureedge.net/NFLTeamImages/bucs.png,http://www.buccaneers.com/team-and-stats/roster.html,218
26,25,"Cincinnati, OH",Southern California,AFC,AFC-North,3,6-1,"Shaw, Josh",CB,Bengals,https://cpt.azureedge.net/NFLTeamImages/bengals.png,http://www.bengals.com/team/roster.html,200
26,25,"East Rutherford, NJ",Tulane,NFC,NFC-East,3,6-0,"Darkwa, Orleans",RB,Giants,https://cpt.azureedge.net/NFLTeamImages/giants.png,http://www.giants.com/team/roster.html,215
26,25,"Indianapolis, IN",Central Florida,AFC,AFC-South,3,6-2,"Geathers, Clayton",S,Colts,https://cpt.azureedge.net/NFLTeamImages/colts.png,http://www.colts.com/team/roster.html,220
26,25,"Miami, FL",Oklahoma,AFC,AFC-East,4,5-11,"Williams, Damien",RB,Dolphins,https://cpt.azureedge.net/NFLTeamImages/dolphins.png,http://www.miamidolphins.com/team/player-roster.html,228
26,25,"Philadelphia, PA",Florida,NFC,NFC-East,3,5-11,"Watkins, Jaylen",S,Eagles,https://cpt.azureedge.net/NFLTeamImages/eagles.png,http://www.philadelphiaeagles.com/team/roster.html,194
